2024-08-08 00:13:44,094 - ERROR - Error inserting row 28 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row28
2024-08-08 00:13:44,094 - ERROR - Error inserting row 29 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row29
2024-08-08 00:13:44,095 - ERROR - Error inserting row 30 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row30
2024-08-08 00:13:44,096 - ERROR - Error inserting row 31 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row31
2024-08-08 00:13:44,096 - ERROR - Error inserting row 32 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row32
2024-08-08 00:13:44,097 - ERROR - Error inserting row 33 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row33
2024-08-08 00:13:44,098 - ERROR - Error inserting row 34 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row34
2024-08-08 00:13:44,098 - ERROR - Error inserting row 35 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row35
2024-08-08 00:13:44,099 - ERROR - Error inserting row 36 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row36
2024-08-08 00:13:44,100 - ERROR - Error inserting row 37 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row37
2024-08-08 00:13:44,100 - ERROR - Error inserting row 38 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row38
2024-08-08 00:13:44,101 - ERROR - Error inserting row 39 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row39
2024-08-08 00:13:44,102 - ERROR - Error inserting row 40 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row40
2024-08-08 00:13:44,102 - ERROR - Error inserting row 41 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row41
2024-08-08 00:13:44,103 - ERROR - Error inserting row 42 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row42
2024-08-08 00:13:44,104 - ERROR - Error inserting row 43 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row43
2024-08-08 00:13:44,104 - ERROR - Error inserting row 44 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row44
2024-08-08 00:13:44,105 - ERROR - Error inserting row 45 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row45
2024-08-08 00:13:44,105 - ERROR - Error inserting row 46 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row46
2024-08-08 00:13:44,106 - ERROR - Error inserting row 47 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row47
2024-08-08 00:13:44,107 - ERROR - Error inserting row 48 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row48
2024-08-08 00:13:44,107 - ERROR - Error inserting row 49 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row49
2024-08-08 00:13:44,108 - ERROR - Error inserting row 50 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row50
2024-08-08 00:13:44,109 - ERROR - Error inserting row 51 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row51
2024-08-08 00:13:44,109 - ERROR - Error inserting row 52 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row52
2024-08-08 00:13:44,110 - ERROR - Error inserting row 53 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row53
2024-08-08 00:13:44,110 - ERROR - Error inserting row 54 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row54
2024-08-08 00:13:44,111 - ERROR - Error inserting row 55 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row55
2024-08-08 00:13:44,112 - ERROR - Error inserting row 56 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row56
2024-08-08 00:13:44,112 - ERROR - Error inserting row 57 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row57
2024-08-08 00:13:44,113 - ERROR - Error inserting row 58 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row58
2024-08-08 00:13:44,113 - ERROR - Error inserting row 59 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row59
2024-08-08 00:13:44,114 - ERROR - Error inserting row 60 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row60
2024-08-08 00:13:44,114 - ERROR - Error inserting row 61 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row61
2024-08-08 00:13:44,115 - ERROR - Error inserting row 62 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row62
2024-08-08 00:13:44,116 - ERROR - Error inserting row 63 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row63
2024-08-08 00:13:44,116 - ERROR - Error inserting row 64 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row64
2024-08-08 00:13:44,117 - ERROR - Error inserting row 65 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row65
2024-08-08 00:13:44,117 - ERROR - Error inserting row 66 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row66
2024-08-08 00:13:44,118 - ERROR - Error inserting row 67 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row67
2024-08-08 00:13:44,118 - ERROR - Error inserting row 68 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row68
2024-08-08 00:13:44,119 - ERROR - Error inserting row 69 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row69
2024-08-08 00:13:44,119 - ERROR - Error inserting row 70 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row70
2024-08-08 00:13:44,120 - ERROR - Error inserting row 71 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row71
2024-08-08 00:13:44,120 - ERROR - Error inserting row 72 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row72
2024-08-08 00:13:44,121 - ERROR - Error inserting row 73 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row73
2024-08-08 00:13:44,122 - ERROR - Error inserting row 74 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row74
2024-08-08 00:13:44,122 - ERROR - Error inserting row 75 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row75
2024-08-08 00:13:44,123 - ERROR - Error inserting row 76 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row76
2024-08-08 00:13:44,123 - ERROR - Error inserting row 77 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row77
2024-08-08 00:13:44,124 - ERROR - Error inserting row 78 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row78
2024-08-08 00:13:44,124 - ERROR - Error inserting row 79 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row79
2024-08-08 00:13:44,125 - ERROR - Error inserting row 80 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row80
2024-08-08 00:13:44,125 - ERROR - Error inserting row 81 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row81
2024-08-08 00:13:44,126 - ERROR - Error inserting row 82 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row82
2024-08-08 00:13:44,126 - ERROR - Error inserting row 83 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row83
2024-08-08 00:13:44,127 - ERROR - Error inserting row 84 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row84
2024-08-08 00:13:44,127 - ERROR - Error inserting row 85 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row85
2024-08-08 00:13:44,128 - ERROR - Error inserting row 86 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row86
2024-08-08 00:13:44,128 - ERROR - Error inserting row 87 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row87
2024-08-08 00:13:44,128 - ERROR - Error inserting row 88 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row88
2024-08-08 00:13:44,129 - ERROR - Error inserting row 89 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row89
2024-08-08 00:13:44,129 - ERROR - Error inserting row 90 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row90
2024-08-08 00:13:44,130 - ERROR - Error inserting row 91 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row91
2024-08-08 00:13:44,130 - ERROR - Error inserting row 92 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row92
2024-08-08 00:13:44,131 - ERROR - Error inserting row 93 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row93
2024-08-08 00:13:44,131 - ERROR - Error inserting row 94 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row94
2024-08-08 00:13:44,131 - ERROR - Error inserting row 95 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row95
2024-08-08 00:13:44,132 - ERROR - Error inserting row 96 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row96
2024-08-08 00:13:44,132 - ERROR - Error inserting row 97 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row97
2024-08-08 00:13:44,133 - ERROR - Error inserting row 98 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row98
2024-08-08 00:13:44,133 - ERROR - Error inserting row 99 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row99
2024-08-08 00:13:44,133 - ERROR - Error inserting row 100 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row100
2024-08-08 00:13:44,134 - ERROR - Error inserting row 101 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row101
2024-08-08 00:13:44,134 - ERROR - Error inserting row 102 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row102
2024-08-08 00:13:44,135 - ERROR - Error inserting row 103 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row103
2024-08-08 00:13:44,135 - ERROR - Error inserting row 104 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row104
2024-08-08 00:13:44,136 - ERROR - Error inserting row 105 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row105
2024-08-08 00:13:44,136 - ERROR - Error inserting row 106 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row106
2024-08-08 00:13:44,136 - ERROR - Error inserting row 107 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row107
2024-08-08 00:13:44,137 - ERROR - Error inserting row 108 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row108
2024-08-08 00:13:44,137 - ERROR - Error inserting row 109 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row109
2024-08-08 00:13:44,138 - ERROR - Error inserting row 110 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row110
2024-08-08 00:13:44,138 - ERROR - Error inserting row 111 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row111
2024-08-08 00:13:44,138 - ERROR - Error inserting row 112 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row112
2024-08-08 00:13:44,139 - ERROR - Error inserting row 113 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row113
2024-08-08 00:13:44,139 - ERROR - Error inserting row 114 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row114
2024-08-08 00:13:44,139 - ERROR - Error inserting row 115 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row115
2024-08-08 00:13:44,140 - ERROR - Error inserting row 116 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row116
2024-08-08 00:13:44,140 - ERROR - Error inserting row 117 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row117
2024-08-08 00:13:44,141 - ERROR - Error inserting row 118 into `饮酒史`: 1146 (42S02): Table 'wx_data.饮酒史' doesn't exist,row118
